[INFO][../tools/config.hpp][20] load config: ../nimbus.conf...
[INFO][service.hpp][51] server listening in ip: 10.211.55.4, port: 8080
[INFO][service.hpp][59] get a upload request, call __upload
[INFO][service.hpp][59] get a upload request, call __upload
[INFO][service.hpp][59] get a upload request, call __upload
[INFO][service.hpp][59] get a upload request, call __upload
[INFO][service.hpp][59] get a upload request, call __upload
[INFO][service.hpp][59] get a upload request, call __upload
[INFO][service.hpp][59] get a upload request, call __upload
[INFO][service.hpp][59] get a upload request, call __upload
[INFO][service.hpp][59] get a upload request, call __upload
